id,rxn_smiles,retro_templates,cano_rxn_smiles
6,[Cl:1][C:2]1[N:3]=[CH:4][C:5]2[C:10]([CH:11]=1)=[C:9]([N+:12]([O-])=O)[CH:8]=[CH:7][CH:6]=2>C(O)(=O)C.[Fe]>[Cl:1][C:2]1[N:3]=[CH:4][C:5]2[C:10]([CH:11]=1)=[C:9]([NH2:12])[CH:8]=[CH:7][CH:6]=2,[NH2;D1;+0:1]-[c:2]>>O=[N+;H0;D3:1](-[O-])-[c:2],O=[N+]([O-])c1cccc2cnc(Cl)cc12>CC(=O)O.[Fe]>Nc1cccc2cnc(Cl)cc12
0,[Br:1][CH2:2][CH2:3][OH:4].[CH2:5]([S:7](Cl)(=[O:9])=[O:8])[CH3:6]>C(N(CC)CC)C>[CH2:5]([S:7]([O:4][CH2:3][CH2:2][Br:1])(=[O:9])=[O:8])[CH3:6],[C:5]-[O;H0;D2;+0:6]-[S;H0;D4;+0:1](-[C:2])(=[O;D1;H0:3])=[O;D1;H0:4]>>Cl-[S;H0;D4;+0:1](-[C:2])(=[O;D1;H0:3])=[O;D1;H0:4].[C:5]-[OH;D1;+0:6],CCS(=O)(=O)Cl.OCCBr>CCN(CC)CC>CCS(=O)(=O)OCCBr
2,[CH2:10]([S:14](Cl)(=[O:16])=[O:15])[CH:11]([CH3:13])[CH3:12].[CH2:1]([Cl:4])[CH2:2][OH:3]>C(N(CC)CC)C>[CH2:10]([S:14]([O:3][CH2:2][CH2:1][Cl:4])(=[O:16])=[O:15])[CH:11]([CH3:13])[CH3:12],[C:2]-[S;H0;D4;+0:1](=[O;D1;H0:3])(=[O;D1;H0:4])-[O;H0;D2;+0:6]-[C:5]>>Cl-[S;H0;D4;+0:1](-[C:2])(=[O;D1;H0:3])=[O;D1;H0:4].[C:5]-[OH;D1;+0:6],CC(C)CS(=O)(=O)Cl.OCCCl>CCN(CC)CC>CC(C)CS(=O)(=O)OCCCl
1,[Br:1][CH2:2][CH2:3][CH2:4][OH:5].[CH3:6][S:7](Cl)(=[O:9])=[O:8]>C(N(CC)CC)C>[CH3:6][S:7]([O:5][CH2:4][CH2:3][CH2:2][Br:1])(=[O:9])=[O:8],[C:5]-[O;H0;D2;+0:6]-[S;H0;D4;+0:1](-[C;D1;H3:2])(=[O;D1;H0:3])=[O;D1;H0:4]>>Cl-[S;H0;D4;+0:1](-[C;D1;H3:2])(=[O;D1;H0:3])=[O;D1;H0:4].[C:5]-[OH;D1;+0:6],CS(=O)(=O)Cl.OCCCBr>CCN(CC)CC>CS(=O)(=O)OCCCBr
22,CC(O[CH2:5][C:6]1[CH2:28][S:27][C@@H:9]2[C@H:10]([NH:13]C(C(OC(C)=O)C3C=CC=CC=3)=O)[C:11](=[O:12])[N:8]2[C:7]=1[C:29]([OH:31])=[O:30])=O>O>[CH3:5][C:6]1[CH2:28][S:27][C@@H:9]2[C@H:10]([NH2:13])[C:11](=[O:12])[N:8]2[C:7]=1[C:29]([OH:31])=[O:30],[CH3;D1;+0:1]-[C:2]=[C:3]-[#7:4]-[C:5](=[O;D1;H0:6])-[C:7]-[NH2;D1;+0:8]>>C-C(=O)-O-[CH2;D2;+0:1]-[C:2]=[C:3]-[#7:4]-[C:5](=[O;D1;H0:6])-[C:7]-[NH;D2;+0:8]-C(=O)-C(-O-C(-C)=O)-c1:c:c:c:c:c:1,CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)C(OC(C)=O)c3ccccc3)[C@H]2SC1>O>CC1=C(C(=O)O)N2C(=O)[C@@H](N)[C@H]2SC1
7,P(Cl)(Cl)([Cl:18])=O.[CH3:1][C:2]1[N+:3]([O-])=[CH:4][C:5]2[C:10]([CH:11]=1)=[C:9]([N+:12]([O-:14])=[O:13])[CH:8]=[CH:7][CH:6]=2>>[Cl:18][C:4]1[C:5]2[C:10](=[C:9]([N+:12]([O-:14])=[O:13])[CH:8]=[CH:7][CH:6]=2)[CH:11]=[C:2]([CH3:1])[N:3]=1,[Cl;H0;D1;+0:1]-[c;H0;D3;+0:4](:[c:5]):[n;H0;D2;+0:2]:[c:3]>>Cl-P(-Cl)(=O)-[Cl;H0;D1;+0:1].[O-]-[n+;H0;D3:2](:[c:3]):[cH;D2;+0:4]:[c:5],Cc1cc2c([N+](=O)[O-])cccc2c[n+]1[O-].O=P(Cl)(Cl)Cl>>Cc1cc2c([N+](=O)[O-])cccc2c(Cl)n1
21,[OH:2][C@@H:3]([CH2:21][CH2:22][CH2:23][CH2:24][CH3:25])[CH:4]=[CH:5][CH:6]1[CH:10]=[CH:9][C:8](=[O:11])[CH:7]1[CH2:12][CH:13]=[CH:14][CH2:15][CH2:16][CH2:17][C:18]([OH:20])=[O:19]>C(O)C>[OH:2][C@@H:3]([CH2:21][CH2:22][CH2:23][CH2:24][CH3:25])[CH:4]=[CH:5][CH:6]1[CH2:10][CH2:9][C:8](=[O:11])[CH:7]1[CH2:12][CH:13]=[CH:14][CH2:15][CH2:16][CH2:17][C:18]([OH:20])=[O:19],[C:1]=[C:2]-[C:3]-[CH2;D2;+0:4]-[CH2;D2;+0:5]-[C:6]=[O;D1;H0:7]>>[C:1]=[C:2]-[C:3]-[CH;D2;+0:4]=[CH;D2;+0:5]-[C:6]=[O;D1;H0:7],CCCCC[C@H](O)C=CC1C=CC(=O)C1CC=CCCCC(=O)O>CCO>CCCCC[C@H](O)C=CC1CCC(=O)C1CC=CCCCC(=O)O
31,S(Cl)([Cl:18])=O.[CH3:1][O:2][C:3]1[C:4]([C:13]([OH:15])=O)=[CH:5][C:6]2[C:11]([CH:12]=1)=[CH:10][CH:9]=[CH:8][CH:7]=2>C1C=CC=CC=1>[CH3:1][O:2][C:3]1[C:4]([C:13]([Cl:18])=[O:15])=[CH:5][C:6]2[C:11]([CH:12]=1)=[CH:10][CH:9]=[CH:8][CH:7]=2,[Cl;H0;D1;+0:1]-[C;H0;D3;+0:2](=[O;H0;D1;+0:3])-[c:4]>>Cl-S(=O)-[Cl;H0;D1;+0:1].O=[C;H0;D3;+0:2](-[OH;D1;+0:3])-[c:4],COc1cc2ccccc2cc1C(=O)O.O=S(Cl)Cl>c1ccccc1>COc1cc2ccccc2cc1C(=O)Cl
50,[C:1]([C:6]1[CH:17]=[CH:16][C:9]2[N:10]3[CH2:15][CH2:14][CH2:13][C:11]3=[N:12][C:8]=2[CH:7]=1)([O:3]CC)=[O:2]>C(O)C.[OH-].[Na+]>[C:1]([C:6]1[CH:17]=[CH:16][C:9]2[N:10]3[CH2:15][CH2:14][CH2:13][C:11]3=[N:12][C:8]=2[CH:7]=1)([OH:3])=[O:2],[O;D1;H0:3]=[C:2]-[OH;D1;+0:1]>>C-C-[O;H0;D2;+0:1]-[C:2]=[O;D1;H0:3],CCOC(=O)c1ccc2c(c1)nc1n2CCC1>CCO.[Na+].[OH-]>O=C(O)c1ccc2c(c1)nc1n2CCC1
42,[CH2:1]([S:3][C:4]1[CH:26]=[CH:25][C:7]2[N:8]([CH3:24])[C:9]3[CH:23]=[CH:22][CH:21]=[CH:20][C:10]=3[CH2:11][C:12](O)([CH2:13][C:14]([O:16][CH2:17][CH3:18])=[O:15])[C:6]=2[CH:5]=1)[CH3:2]>C(O)C>[CH2:1]([S:3][C:4]1[CH:26]=[CH:25][C:7]2[N:8]([CH3:24])[C:9]3[CH:23]=[CH:22][CH:21]=[CH:20][C:10]=3[CH2:11][C:12](=[CH:13][C:14]([O:16][CH2:17][CH3:18])=[O:15])[C:6]=2[CH:5]=1)[CH3:2],[#8:6]-[C:5](=[O;D1;H0:7])-[CH;D2;+0:4]=[C;H0;D3;+0:1](-[C:2])-[c:3]>>O-[C;H0;D4;+0:1](-[C:2])(-[c:3])-[CH2;D2;+0:4]-[C:5](-[#8:6])=[O;D1;H0:7],CCOC(=O)CC1(O)Cc2ccccc2N(C)c2ccc(SCC)cc21>CCO>CCOC(=O)C=C1Cc2ccccc2N(C)c2ccc(SCC)cc21
51,[C:14](OC(=O)C)(=[O:16])[CH3:15].[NH2:1][C:2]1[CH:3]=[CH:4][C:5]2[N:9]=[C:8]3[CH2:10][CH2:11][CH2:12][N:7]3[C:6]=2[CH:13]=1>C1C=CC=CC=1>[C:14]([NH:1][C:2]1[CH:3]=[CH:4][C:5]2[N:9]=[C:8]3[CH2:10][CH2:11][CH2:12][N:7]3[C:6]=2[CH:13]=1)(=[O:16])[CH3:15],[C;D1;H3:2]-[C;H0;D3;+0:1](=[O;D1;H0:3])-[NH;D2;+0:4]-[c:5]>>C-C(=O)-O-[C;H0;D3;+0:1](-[C;D1;H3:2])=[O;D1;H0:3].[NH2;D1;+0:4]-[c:5],CC(=O)OC(C)=O.Nc1ccc2nc3n(c2c1)CCC3>c1ccccc1>CC(=O)Nc1ccc2nc3n(c2c1)CCC3
49,N[C:2]1[CH:3]=[CH:4][C:5]2[N:9]=[C:8]3[CH2:10][CH2:11][CH2:12][N:7]3[C:6]=2[CH:13]=1.[ClH:18]>O>[Cl:18][C:2]1[CH:3]=[CH:4][C:5]2[N:9]=[C:8]3[CH2:10][CH2:11][CH2:12][N:7]3[C:6]=2[CH:13]=1,[#7;a:5]:[c:4]:[c:3]:[c;H0;D3;+0:1](-[Cl;H0;D1;+0:6]):[c:2]>>N-[c;H0;D3;+0:1](:[c:2]):[c:3]:[c:4]:[#7;a:5].[ClH;D0;+0:6],Cl.Nc1ccc2nc3n(c2c1)CCC3>O>Clc1ccc2nc3n(c2c1)CCC3
55,[CH:12]#[N:13].[C:1]([NH:5][N:6]=[C:7]([CH:9]1[CH2:11][CH2:10]1)[CH3:8])([CH3:4])([CH3:3])[CH3:2]>>[C:1]([NH:5][NH:6][C:7]([C:12]#[N:13])([CH:9]1[CH2:10][CH2:11]1)[CH3:8])([CH3:4])([CH3:2])[CH3:3],[#7:1]-[NH;D2;+0:2]-[C;H0;D4;+0:3](-[C:4])(-[C;D1;H3:5])-[C;H0;D2;+0:6]#[N;D1;H0:7]>>[#7:1]-[N;H0;D2;+0:2]=[C;H0;D3;+0:3](-[C:4])-[C;D1;H3:5].[CH;D1;+0:6]#[N;D1;H0:7],C#N.CC(=NNC(C)(C)C)C1CC1>>CC(C)(C)NNC(C)(C#N)C1CC1
40,[CH3:9][N:10]1[C:16]2[CH:17]=[CH:18][CH:19]=[CH:20][C:15]=2[C:14](=[O:21])[CH2:13][C:12]2[CH:22]=[CH:23][CH:24]=[CH:25][C:11]1=2.C1C(=O)N([Br:8])C(=O)C1>CN(C)C=O>[Br:8][C:19]1[CH:18]=[CH:17][C:16]2[N:10]([CH3:9])[C:11]3[CH:25]=[CH:24][CH:23]=[CH:22][C:12]=3[CH2:13][C:14](=[O:21])[C:15]=2[CH:20]=1,[Br;H0;D1;+0:1]-[c;H0;D3;+0:3](:[c:2]):[c:4]>>O=C1-C-C-C(=O)-N-1-[Br;H0;D1;+0:1].[c:2]:[cH;D2;+0:3]:[c:4],CN1c2ccccc2CC(=O)c2ccccc21.O=C1CCC(=O)N1Br>CN(C)C=O>CN1c2ccccc2CC(=O)c2cc(Br)ccc21
54,[C:3]([NH:7][NH:8][C:9]1([C:18]#[N:19])[CH2:14][CH:13]([CH3:15])[CH2:12][C:11]([CH3:17])([CH3:16])[CH2:10]1)([CH3:6])([CH3:5])[CH3:4]>>[C:3]([N:7]=[N:8][C:9]1([C:18]#[N:19])[CH2:14][CH:13]([CH3:15])[CH2:12][C:11]([CH3:17])([CH3:16])[CH2:10]1)([CH3:5])([CH3:4])[CH3:6],[C:1]-[N;H0;D2;+0:2]=[N;H0;D2;+0:3]-[C:4]>>[C:1]-[NH;D2;+0:2]-[NH;D2;+0:3]-[C:4],CC1CC(C)(C)CC(C#N)(NNC(C)(C)C)C1>>CC1CC(C)(C)CC(C#N)(N=NC(C)(C)C)C1
56,[C:1]([NH:5][NH:6][C:7]([C:12]#[N:13])([CH:9]1[CH2:11][CH2:10]1)[CH3:8])([CH3:4])([CH3:3])[CH3:2]>O>[C:1]([N:5]=[N:6][C:7]([C:12]#[N:13])([CH:9]1[CH2:10][CH2:11]1)[CH3:8])([CH3:2])([CH3:3])[CH3:4],[C:1]-[N;H0;D2;+0:2]=[N;H0;D2;+0:3]-[C:4]>>[C:1]-[NH;D2;+0:2]-[NH;D2;+0:3]-[C:4],CC(C)(C)NNC(C)(C#N)C1CC1>O>CC(C)(C)N=NC(C)(C#N)C1CC1
41,[Br:1][C:2]1[CH:18]=[CH:17][C:5]2[N:6]([CH3:16])[C:7]3[CH:15]=[CH:14][CH:13]=[CH:12][C:8]=3[CH2:9][C:10](=[O:11])[C:4]=2[CH:3]=1.[CH2:19](O)[CH3:20]>C(N(CC)CC)C>[Br:1][C:2]1[CH:18]=[CH:17][C:5]2[N:6]([CH3:16])[C:7]3[CH:15]=[CH:14][CH:13]=[CH:12][C:8]=3[CH:9]=[C:10]([O:11][CH2:19][CH3:20])[C:4]=2[CH:3]=1,[C;D1;H3:2]-[CH2;D2;+0:1]-[O;H0;D2;+0:3]-[C;H0;D3;+0:4](-[c:5])=[CH;D2;+0:6]-[c:7]>>O-[CH2;D2;+0:1]-[C;D1;H3:2].[O;H0;D1;+0:3]=[C;H0;D3;+0:4](-[c:5])-[CH2;D2;+0:6]-[c:7],CCO.CN1c2ccccc2CC(=O)c2cc(Br)ccc21>CCN(CC)CC>CCOC1=Cc2ccccc2N(C)c2ccc(Br)cc21
43,[CH2:1]([S:3][C:4]1[CH:25]=[CH:24][C:7]2[N:8]([CH3:23])[C:9]3[CH:22]=[CH:21][CH:20]=[CH:19][C:10]=3[CH2:11][C:12](=[CH:13][C:14]([O:16]CC)=[O:15])[C:6]=2[CH:5]=1)[CH3:2]>C(O)C>[CH2:1]([S:3][C:4]1[CH:25]=[CH:24][C:7]2[N:8]([CH3:23])[C:9]3[CH:22]=[CH:21][CH:20]=[CH:19][C:10]=3[CH:11]=[C:12]([CH2:13][C:14]([OH:16])=[O:15])[C:6]=2[CH:5]=1)[CH3:2],[O;D1;H0:3]=[C:2](-[OH;D1;+0:1])-[CH2;D2;+0:4]-[C;H0;D3;+0:5](-[c:6])=[CH;D2;+0:7]-[c:8]>>C-C-[O;H0;D2;+0:1]-[C:2](=[O;D1;H0:3])-[CH;D2;+0:4]=[C;H0;D3;+0:5](-[c:6])-[CH2;D2;+0:7]-[c:8],CCOC(=O)C=C1Cc2ccccc2N(C)c2ccc(SCC)cc21>CCO>CCSc1ccc2c(c1)C(CC(=O)O)=Cc1ccccc1N2C
58,[C:1]([NH:5][NH:6][C:7]1([C:15]#[N:16])[CH2:14][CH2:13][CH2:12][CH2:11][CH2:10][CH2:9][CH2:8]1)([CH3:4])([CH3:3])[CH3:2]>>[C:1]([N:5]=[N:6][C:7]1([C:15]#[N:16])[CH2:14][CH2:13][CH2:12][CH2:11][CH2:10][CH2:9][CH2:8]1)([CH3:4])([CH3:2])[CH3:3],[C:1]-[N;H0;D2;+0:2]=[N;H0;D2;+0:3]-[C:4]>>[C:1]-[NH;D2;+0:2]-[NH;D2;+0:3]-[C:4],CC(C)(C)NNC1(C#N)CCCCCCC1>>CC(C)(C)N=NC1(C#N)CCCCCCC1
60,[C:1]([NH:5][NH:6][C:7]1([C:14]#[N:15])[CH2:13][CH2:12][CH2:11][CH2:10][CH2:9][CH2:8]1)([CH3:4])([CH3:3])[CH3:2]>>[C:1]([N:5]=[N:6][C:7]1([C:14]#[N:15])[CH2:13][CH2:12][CH2:11][CH2:10][CH2:9][CH2:8]1)([CH3:4])([CH3:2])[CH3:3],[C:1]-[N;H0;D2;+0:2]=[N;H0;D2;+0:3]-[C:4]>>[C:1]-[NH;D2;+0:2]-[NH;D2;+0:3]-[C:4],CC(C)(C)NNC1(C#N)CCCCCC1>>CC(C)(C)N=NC1(C#N)CCCCCC1
53,[C:11]1(=O)[CH2:16][CH2:15][CH2:14][CH2:13][CH2:12]1.[C-:8]#[N:9].[C:2]([NH:6][NH2:7])([CH3:5])([CH3:4])[CH3:3]>O.CCCCCC>[C:2]([NH:6][NH:7][C:11]1([C:8]#[N:9])[CH2:16][CH2:15][CH2:14][CH2:13][CH2:12]1)([CH3:5])([CH3:4])[CH3:3],[#7:4]-[NH;D2;+0:5]-[C;H0;D4;+0:1](-[C:2])(-[C:3])-[C;H0;D2;+0:6]#[N;D1;H0:7]>>O=[C;H0;D3;+0:1](-[C:2])-[C:3].[#7:4]-[NH2;D1;+0:5].[C-;H0;D1:6]#[N;D1;H0:7],CC(C)(C)NN.O=C1CCCCC1.[C-]#N>CCCCCC.O>CC(C)(C)NNC1(C#N)CCCCC1
61,[Cl:20]Cl.[C:1]([NH:5][N:6]=[C:7]([CH2:9][CH:10]([CH3:12])[CH3:11])[CH3:8])([CH3:4])([CH3:3])[CH3:2]>CCCCC>[C:1]([N:5]=[N:6][C:7]([Cl:20])([CH2:9][CH:10]([CH3:12])[CH3:11])[CH3:8])([CH3:4])([CH3:3])[CH3:2],[C:2]-[N;H0;D2;+0:3]=[N;H0;D2;+0:4]-[C;H0;D4;+0:5](-[C:6])(-[C;D1;H3:7])-[Cl;H0;D1;+0:1]>>Cl-[Cl;H0;D1;+0:1].[C:2]-[NH;D2;+0:3]-[N;H0;D2;+0:4]=[C;H0;D3;+0:5](-[C:6])-[C;D1;H3:7],CC(CC(C)C)=NNC(C)(C)C.ClCl>CCCCC>CC(C)CC(C)(Cl)N=NC(C)(C)C
63,[C:3]([N:7]=[N:8][C:9]([C:17]#[N:18])([CH3:16])[CH2:10][C:11]([O:13]CC)=[O:12])([CH3:6])([CH3:5])[CH3:4]>CO>[C:3]([N:7]=[N:8][C:9]([C:17]#[N:18])([CH3:16])[CH2:10][C:11]([OH:13])=[O:12])([CH3:6])([CH3:4])[CH3:5],[O;D1;H0:3]=[C:2]-[OH;D1;+0:1]>>C-C-[O;H0;D2;+0:1]-[C:2]=[O;D1;H0:3],CCOC(=O)CC(C)(C#N)N=NC(C)(C)C>CO>CC(C)(C)N=NC(C)(C#N)CC(=O)O
48,[Br:1][C:2]1[C:13](N)=[CH:12][C:5]2[N:6]3[CH2:11][CH2:10][CH2:9][C:7]3=[N:8][C:4]=2[CH:3]=1.[C-:25]#[N:26]>O.Cl>[Br:1][C:2]1[C:13]([C:25]#[N:26])=[CH:12][C:5]2[N:6]3[CH2:11][CH2:10][CH2:9][C:7]3=[N:8][C:4]=2[CH:3]=1,[#7;a:5]:[c:4]:[c:3]:[c;H0;D3;+0:1](:[c:2])-[C;H0;D2;+0:6]#[N;D1;H0:7]>>N-[c;H0;D3;+0:1](:[c:2]):[c:3]:[c:4]:[#7;a:5].[C-;H0;D1:6]#[N;D1;H0:7],Nc1cc2c(cc1Br)nc1n2CCC1.[C-]#N>Cl.O>N#Cc1cc2c(cc1Br)nc1n2CCC1
45,[CH3:33][NH:34][CH3:35].[CH2:1]([S:3][C:4]1[CH:32]=[CH:31][C:7]2[N:8]([CH3:30])[C:9]3[CH:29]=[CH:28][CH:27]=[CH:26][C:10]=3[CH:11]=[C:12]([CH2:13][C:14]([O:16]C3C=CC([N+]([O-])=O)=CC=3)=O)[C:6]=2[CH:5]=1)[CH3:2]>C(Cl)(Cl)Cl>[CH2:1]([S:3][C:4]1[CH:32]=[CH:31][C:7]2[N:8]([CH3:30])[C:9]3[CH:29]=[CH:28][CH:27]=[CH:26][C:10]=3[CH:11]=[C:12]([CH2:13][C:14](=[O:16])[N:34]([CH3:35])[CH3:33])[C:6]=2[CH:5]=1)[CH3:2],[C:4]=[C:3]-[C:2]-[C;H0;D3;+0:1](=[O;H0;D1;+0:5])-[N;H0;D3;+0:7](-[C;D1;H3:6])-[C;D1;H3:8]>>O=[C;H0;D3;+0:1](-[C:2]-[C:3]=[C:4])-[O;H0;D2;+0:5]-c1:c:c:c(-[N+](=O)-[O-]):c:c:1.[C;D1;H3:6]-[NH;D2;+0:7]-[C;D1;H3:8],CCSc1ccc2c(c1)C(CC(=O)Oc1ccc([N+](=O)[O-])cc1)=Cc1ccccc1N2C.CNC>ClC(Cl)Cl>CCSc1ccc2c(c1)C(CC(=O)N(C)C)=Cc1ccccc1N2C
47,[CH2:4]([S:6][C:7]1[CH:27]=[CH:26][C:10]2[N:11]([CH3:25])[C:12]3[CH:24]=[CH:23][CH:22]=[CH:21][C:13]=3[CH:14]=[C:15]([CH2:16][CH2:17][N:18]([CH3:20])[CH3:19])[C:9]=2[CH:8]=1)[CH3:5].[OH-:29].[OH2:28]>C(O)(=O)C>[CH2:4]([S:6]([C:7]1[CH:27]=[CH:26][C:10]2[N:11]([CH3:25])[C:12]3[CH:24]=[CH:23][CH:22]=[CH:21][C:13]=3[CH:14]=[C:15]([CH2:16][CH2:17][N:18]([CH3:20])[CH3:19])[C:9]=2[CH:8]=1)(=[O:29])=[O:28])[CH3:5],[C:1]-[S;H0;D4;+0:2](=[O;H0;D1;+0:5])(=[O;H0;D1;+0:4])-[c:3]>>[C:1]-[S;H0;D2;+0:2]-[c:3].[OH-;D0:4].[OH2;D0;+0:5],CCSc1ccc2c(c1)C(CCN(C)C)=Cc1ccccc1N2C.O.[OH-]>CC(=O)O>CCS(=O)(=O)c1ccc2c(c1)C(CCN(C)C)=Cc1ccccc1N2C
28,CO[C:3]1[CH:4]=[C:5]([C:9]2([CH2:12][C:13]([Cl:16])([Cl:15])[Cl:14])[CH2:11][O:10]2)[CH:6]=[CH:7][CH:8]=1.[Br:117]C1C=CC(C2(CC(Cl)(Cl)Cl)CO2)=CC=1>>[Br:117][C:3]1[CH:4]=[C:5]([C:9]2([CH2:12][C:13]([Cl:16])([Cl:15])[Cl:14])[CH2:11][O:10]2)[CH:6]=[CH:7][CH:8]=1,[Br;H0;D1;+0:4]-[c;H0;D3;+0:1](:[c:2]):[c:3]>>C-O-[c;H0;D3;+0:1](:[c:2]):[c:3].Cl-C(-Cl)(-Cl)-C-C1(-c2:c:c:c(-[Br;H0;D1;+0:4]):c:c:2)-C-O-1,COc1cccc(C2(CC(Cl)(Cl)Cl)CO2)c1.ClC(Cl)(Cl)CC1(c2ccc(Br)cc2)CO1>>ClC(Cl)(Cl)CC1(c2cccc(Br)c2)CO1
