id,rxn_smiles,retro_templates,cano_rxn_smiles
46,[CH2:7]([S:9][C:10]1[CH:31]=[CH:30][C:13]2[N:14]([CH3:29])[C:15]3[CH:28]=[CH:27][CH:26]=[CH:25][C:16]=3[CH:17]=[C:18]([CH2:19][C:20](=O)[N:21]([CH3:23])[CH3:22])[C:12]=2[CH:11]=1)[CH3:8]>O1CCCC1>[CH2:7]([S:9][C:10]1[CH:31]=[CH:30][C:13]2[N:14]([CH3:29])[C:15]3[CH:28]=[CH:27][CH:26]=[CH:25][C:16]=3[CH:17]=[C:18]([CH2:19][CH2:20][N:21]([CH3:23])[CH3:22])[C:12]=2[CH:11]=1)[CH3:8],[#7:2]-[CH2;D2;+0:1]-[C:3]-[C:4]=[C:5]>>O=[C;H0;D3;+0:1](-[#7:2])-[C:3]-[C:4]=[C:5],CCSc1ccc2c(c1)C(CC(=O)N(C)C)=Cc1ccccc1N2C>C1CCOC1>CCSc1ccc2c(c1)C(CCN(C)C)=Cc1ccccc1N2C
57,[C:14]1(=O)[CH2:21]CCCCC[CH2:15]1.[C:1]([NH:5][NH:6][C:7]([C:12]#[N:13])([CH:9]1[CH2:11][CH2:10]1)[CH3:8])([CH3:4])([CH3:3])[CH3:2]>>[C:1]([NH:5][NH:6][C:7]1([C:12]#[N:13])[CH2:8][CH2:21][CH2:14][CH2:15][CH2:10][CH2:11][CH2:9]1)([CH3:2])([CH3:3])[CH3:4],[C:7]1-[CH2;D2;+0:8]-[CH2;D2;+0:2]-[CH2;D2;+0:1]-[CH2;D2;+0:3]-[CH2;D2;+0:4]-[C:5]-[CH2;D2;+0:6]-1>>O=[C;H0;D3;+0:1]1-[CH2;D2;+0:2]-C-C-C-C-C-[CH2;D2;+0:3]-1.[CH3;D1;+0:4]-[C:5]-[CH;D3;+0:6]1-[C:7]-[CH2;D2;+0:8]-1,CC(C)(C)NNC(C)(C#N)C1CC1.O=C1CCCCCCC1>>CC(C)(C)NNC1(C#N)CCCCCCC1
59,[C:14]1(=O)CCCCC[CH2:15]1.[C:1]([NH:5][NH:6][C:7]([C:12]#[N:13])([CH:9]1[CH2:11][CH2:10]1)[CH3:8])([CH3:4])([CH3:3])[CH3:2]>>[C:1]([NH:5][NH:6][C:7]1([C:12]#[N:13])[CH2:8][CH2:15][CH2:14][CH2:10][CH2:11][CH2:9]1)([CH3:2])([CH3:3])[CH3:4],[C:6]1-[CH2;D2;+0:7]-[CH2;D2;+0:1]-[CH2;D2;+0:2]-[CH2;D2;+0:3]-[C:4]-[CH2;D2;+0:5]-1>>O=[C;H0;D3;+0:1]1-C-C-C-C-C-[CH2;D2;+0:2]-1.[CH3;D1;+0:3]-[C:4]-[CH;D3;+0:5]1-[C:6]-[CH2;D2;+0:7]-1,CC(C)(C)NNC(C)(C#N)C1CC1.O=C1CCCCCC1>>CC(C)(C)NNC1(C#N)CCCCCC1
64,[C:1]([N:5]=[N:6][C:7]([C:14]#[N:15])([CH3:13])[CH2:8][CH2:9][C:10]([OH:12])=[O:11])([CH3:4])([CH3:3])[CH3:2].[OH:16]S(O)(=O)=O>>[C:1]([N:5]=[N:6][C:7]([C:14](=[O:16])[NH2:15])([CH3:13])[CH2:8][CH2:9][C:10]([OH:12])=[O:11])([CH3:4])([CH3:2])[CH3:3],[C:2]-[C;H0;D3;+0:3](-[NH2;D1;+0:4])=[O;H0;D1;+0:1]>>O-S(=O)(=O)-[OH;D1;+0:1].[C:2]-[C;H0;D2;+0:3]#[N;H0;D1;+0:4],CC(C)(C)N=NC(C)(C#N)CCC(=O)O.O=S(=O)(O)O>>CC(C)(C)N=NC(C)(CCC(=O)O)C(N)=O
52,[C:12]1(=O)[CH2:17][CH2:16][CH2:15][CH2:14][CH2:13]1.[C-:8]#[N:9].[C:2]([NH:6][NH2:7])([CH3:5])([CH3:4])[CH3:3]>C(O)C>[C:2]([NH:6][NH:7][C:12]1([C:8]#[N:9])[CH2:17][CH2:16][CH2:15][CH2:14][CH2:13]1)([CH3:5])([CH3:4])[CH3:3],[#7:4]-[NH;D2;+0:5]-[C;H0;D4;+0:1](-[C:2])(-[C:3])-[C;H0;D2;+0:6]#[N;D1;H0:7]>>O=[C;H0;D3;+0:1](-[C:2])-[C:3].[#7:4]-[NH2;D1;+0:5].[C-;H0;D1:6]#[N;D1;H0:7],CC(C)(C)NN.O=C1CCCCC1.[C-]#N>CCO>CC(C)(C)NNC1(C#N)CCCCC1
65,[NH2:2][OH:3].[C:6]([N:10]=[N:11][C:12]([C:15]#[N:16])([CH3:14])[CH3:13])([CH3:9])([CH3:8])[CH3:7]>CO.CCCCC>[C:6]([N:10]=[N:11][C:12]([CH3:14])([CH3:13])[C:15](=[N:2][OH:3])[NH2:16])([CH3:9])([CH3:7])[CH3:8],[C:1]-[C;H0;D3;+0:2](-[NH2;D1;+0:3])=[N;H0;D2;+0:4]-[O;D1;H1:5]>>[C:1]-[C;H0;D2;+0:2]#[N;H0;D1;+0:3].[NH2;D1;+0:4]-[O;D1;H1:5],CC(C)(C)N=NC(C)(C)C#N.NO>CCCCC.CO>CC(C)(C)N=NC(C)(C)C(N)=NO
66,[CH:16]1([C:19](Cl)=[O:20])[CH2:18][CH2:17]1.[NH2:1][C:2]1[CH:10]=[CH:9][C:5]([C:6]([OH:8])=[O:7])=[C:4]([N+:11]([O-:13])=[O:12])[CH:3]=1>C1COCC1.O>[CH:16]1([C:19]([NH:1][C:2]2[CH:10]=[CH:9][C:5]([C:6]([OH:8])=[O:7])=[C:4]([N+:11]([O-:13])=[O:12])[CH:3]=2)=[O:20])[CH2:18][CH2:17]1,[C:2]-[C;H0;D3;+0:1](=[O;D1;H0:3])-[NH;D2;+0:4]-[c:5]>>Cl-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3].[NH2;D1;+0:4]-[c:5],Nc1ccc(C(=O)O)c([N+](=O)[O-])c1.O=C(Cl)C1CC1>C1CCOC1.O>O=C(O)c1ccc(NC(=O)C2CC2)cc1[N+](=O)[O-]
44,[CH:34]1(N=C=NC2CCCCC2)CCCCC1.[C:49](OCC)(=[O:51])[CH3:50].[CH:24]1[C:29]([N+:30]([O-:32])=[O:31])=[CH:28][CH:27]=[C:26]([OH:33])[CH:25]=1.[CH2:1]([S:3][C:4]1[CH:23]=[CH:22][C:7]2[N:8]([CH3:21])[C:9]3[CH:20]=[CH:19][CH:18]=[CH:17][C:10]=3[CH:11]=C(CC(O)=O)[C:6]=2[CH:5]=1)[CH3:2]>>[CH2:1]([S:3][C:4]1[CH:23]=[CH:22][C:7]2[N:8]([CH3:21])[C:9]3[CH:20]=[CH:19][CH:18]=[CH:17][C:10]=3[CH:11]=[C:50]([C:49]([O:33][C:26]3[CH:27]=[CH:28][C:29]([N+:30]([O-:32])=[O:31])=[CH:24][CH:25]=3)=[O:51])[C:6]=2[C:5]=1[CH3:34])[CH3:2],[#7:9]-[c:8]:[c;H0;D3;+0:7](-[C;H0;D3;+0:2](=[CH;D2;+0:5]-[c:6])-[C;H0;D3;+0:1](=[O;D1;H0:3])-[O;H0;D2;+0:12]-[c:13]):[c;H0;D3;+0:10](-[CH3;D1;+0:4]):[c:11]>>C-C-O-[C;H0;D3;+0:1](-[CH3;D1;+0:2])=[O;D1;H0:3].C1-C-C-C(-N=C=N-[CH;D3;+0:4]2-C-C-C-C-C-2)-C-C-1.O-C(=O)-C-C(=[CH;D2;+0:5]-[c:6])-[c;H0;D3;+0:7](:[c:8]-[#7:9]):[cH;D2;+0:10]:[c:11].[OH;D1;+0:12]-[c:13],C(=NC1CCCCC1)=NC1CCCCC1.CCOC(C)=O.CCSc1ccc2c(c1)C(CC(=O)O)=Cc1ccccc1N2C.O=[N+]([O-])c1ccc(O)cc1>>CCSc1ccc2c(c1C)C(C(=O)Oc1ccc([N+](=O)[O-])cc1)=Cc1ccccc1N2C
67,[N+:1]([C:4]1[CH:5]=[C:6]([CH:10]=[CH:11][C:12]=1[NH2:13])[C:7]([OH:9])=[O:8])([O-:3])=[O:2].[CH:14]1([C:17](Cl)=[O:18])[CH2:16][CH2:15]1>>[CH:14]1([C:17]([NH:13][C:12]2[CH:11]=[CH:10][C:6]([C:7]([OH:9])=[O:8])=[CH:5][C:4]=2[N+:1]([O-:3])=[O:2])=[O:18])[CH2:16][CH2:15]1,[C:2]-[C;H0;D3;+0:1](=[O;D1;H0:3])-[NH;D2;+0:4]-[c:5]>>Cl-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3].[NH2;D1;+0:4]-[c:5],Nc1ccc(C(=O)O)cc1[N+](=O)[O-].O=C(Cl)C1CC1>>O=C(O)c1ccc(NC(=O)C2CC2)c([N+](=O)[O-])c1
68,[CH:11]1([C:15](Cl)=[O:16])[CH2:14][CH2:13][CH2:12]1.[NH2:1][C:2]1[CH:10]=[CH:9][C:5]([C:6]([OH:8])=[O:7])=[CH:4][CH:3]=1>>[CH:11]1([C:15]([NH:1][C:2]2[CH:10]=[CH:9][C:5]([C:6]([OH:8])=[O:7])=[CH:4][CH:3]=2)=[O:16])[CH2:14][CH2:13][CH2:12]1,[C:2]-[C;H0;D3;+0:1](=[O;D1;H0:3])-[NH;D2;+0:4]-[c:5]>>Cl-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3].[NH2;D1;+0:4]-[c:5],Nc1ccc(C(=O)O)cc1.O=C(Cl)C1CCC1>>O=C(O)c1ccc(NC(=O)C2CCC2)cc1
80,[CH:12]1([C:17](Cl)=[O:18])[CH2:16][CH2:15][CH2:14][CH2:13]1.[NH2:1][C:2]1[CH:10]=[CH:9][C:5]([C:6]([OH:8])=[O:7])=[C:4]([OH:11])[CH:3]=1>>[CH:12]1([C:17]([NH:1][C:2]2[CH:10]=[CH:9][C:5]([C:6]([OH:8])=[O:7])=[C:4]([OH:11])[CH:3]=2)=[O:18])[CH2:16][CH2:15][CH2:14][CH2:13]1,[C:2]-[C;H0;D3;+0:1](=[O;D1;H0:3])-[NH;D2;+0:4]-[c:5]>>Cl-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3].[NH2;D1;+0:4]-[c:5],Nc1ccc(C(=O)O)c(O)c1.O=C(Cl)C1CCCC1>>O=C(O)c1ccc(NC(=O)C2CCCC2)cc1O
71,[NH2:1][C:2]1[CH:10]=[CH:9][C:5]([C:6]([OH:8])=[O:7])=[CH:4][CH:3]=1.[CH:11]1([CH2:16][CH2:17][C:18](Cl)=[O:19])[CH2:15][CH2:14][CH2:13][CH2:12]1>>[CH:11]1([CH2:16][CH2:17][C:18]([NH:1][C:2]2[CH:10]=[CH:9][C:5]([C:6]([OH:8])=[O:7])=[CH:4][CH:3]=2)=[O:19])[CH2:15][CH2:14][CH2:13][CH2:12]1,[C:2]-[C;H0;D3;+0:1](=[O;D1;H0:3])-[NH;D2;+0:4]-[c:5]>>Cl-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3].[NH2;D1;+0:4]-[c:5],Nc1ccc(C(=O)O)cc1.O=C(Cl)CCC1CCCC1>>O=C(CCC1CCCC1)Nc1ccc(C(=O)O)cc1
69,[CH:14]1([C:18](Cl)=[O:19])[CH2:17][CH2:16][CH2:15]1.[NH2:1][C:2]1[CH:10]=[CH:9][C:5]([C:6]([OH:8])=[O:7])=[C:4]([N+:11]([O-:13])=[O:12])[CH:3]=1>>[CH:14]1([C:18]([NH:1][C:2]2[CH:10]=[CH:9][C:5]([C:6]([OH:8])=[O:7])=[C:4]([N+:11]([O-:13])=[O:12])[CH:3]=2)=[O:19])[CH2:17][CH2:16][CH2:15]1,[C:2]-[C;H0;D3;+0:1](=[O;D1;H0:3])-[NH;D2;+0:4]-[c:5]>>Cl-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3].[NH2;D1;+0:4]-[c:5],Nc1ccc(C(=O)O)c([N+](=O)[O-])c1.O=C(Cl)C1CCC1>>O=C(O)c1ccc(NC(=O)C2CCC2)cc1[N+](=O)[O-]
62,[C:24]([N:28]=[N:29][C:30](Cl)([CH2:44][CH2:45][CH2:46][CH2:47][CH2:48][CH3:49])[CH2:31][CH2:32][CH2:33][CH2:34][CH2:35][CH2:36][CH2:37][CH2:38][CH2:39][CH2:40][C:41]([OH:43])=[O:42])([CH3:27])([CH3:26])[CH3:25].[C-:51]#[N:52]>CCCCC.CO.O>[C:24]([N:28]=[N:29][C:30]([C:51]#[N:52])([CH2:44][CH2:45][CH2:46][CH2:47][CH2:48][CH3:49])[CH2:31][CH2:32][CH2:33][CH2:34][CH2:35][CH2:36][CH2:37][CH2:38][CH2:39][CH2:40][C:41]([OH:43])=[O:42])([CH3:27])([CH3:26])[CH3:25],[#7:5]=[#7:4]-[C;H0;D4;+0:1](-[C:2])(-[C:3])-[C;H0;D2;+0:6]#[N;D1;H0:7]>>Cl-[C;H0;D4;+0:1](-[C:2])(-[C:3])-[#7:4]=[#7:5].[C-;H0;D1:6]#[N;D1;H0:7],CCCCCCC(Cl)(CCCCCCCCCCC(=O)O)N=NC(C)(C)C.[C-]#N>CCCCC.CO.O>CCCCCCC(C#N)(CCCCCCCCCCC(=O)O)N=NC(C)(C)C
72,[NH2:1][C:2]1[CH:10]=[CH:9][C:5]([C:6]([OH:8])=[O:7])=[CH:4][CH:3]=1.[CH2:11]1[CH2:16][CH2:15][CH2:14][CH:13]([CH2:17][CH2:18][C:19](Cl)=[O:20])[CH2:12]1>>[CH2:11]1[CH2:16][CH2:15][CH2:14][CH:13]([CH2:17][CH2:18][C:19]([NH:1][C:2]2[CH:10]=[CH:9][C:5]([C:6]([OH:8])=[O:7])=[CH:4][CH:3]=2)=[O:20])[CH2:12]1,[C:2]-[C;H0;D3;+0:1](=[O;D1;H0:3])-[NH;D2;+0:4]-[c:5]>>Cl-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3].[NH2;D1;+0:4]-[c:5],Nc1ccc(C(=O)O)cc1.O=C(Cl)CCC1CCCCC1>>O=C(CCC1CCCCC1)Nc1ccc(C(=O)O)cc1
74,[NH2:1][C:2]1[CH:10]=[CH:9][C:5]([C:6]([OH:8])=[O:7])=[CH:4][CH:3]=1.[CH:11]1([C:17](Cl)=[O:18])[CH2:16][CH2:15][CH:14]=[CH:13][CH2:12]1>>[CH:11]1([C:17]([NH:1][C:2]2[CH:10]=[CH:9][C:5]([C:6]([OH:8])=[O:7])=[CH:4][CH:3]=2)=[O:18])[CH2:16][CH2:15][CH:14]=[CH:13][CH2:12]1,[C:2]-[C;H0;D3;+0:1](=[O;D1;H0:3])-[NH;D2;+0:4]-[c:5]>>Cl-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3].[NH2;D1;+0:4]-[c:5],Nc1ccc(C(=O)O)cc1.O=C(Cl)C1CC=CCC1>>O=C(O)c1ccc(NC(=O)C2CC=CCC2)cc1
76,[NH2:1][C:2]1[CH:10]=[CH:9][C:5]([C:6]([OH:8])=[O:7])=[CH:4][CH:3]=1.[CH:11]1([C:18](Cl)=[O:19])[CH2:17][CH2:16][CH:15]=[CH:14][CH2:13][CH2:12]1>>[CH:11]1([C:18]([NH:1][C:2]2[CH:10]=[CH:9][C:5]([C:6]([OH:8])=[O:7])=[CH:4][CH:3]=2)=[O:19])[CH2:17][CH2:16][CH:15]=[CH:14][CH2:13][CH2:12]1,[C:2]-[C;H0;D3;+0:1](=[O;D1;H0:3])-[NH;D2;+0:4]-[c:5]>>Cl-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3].[NH2;D1;+0:4]-[c:5],Nc1ccc(C(=O)O)cc1.O=C(Cl)C1CCC=CCC1>>O=C(O)c1ccc(NC(=O)C2CCC=CCC2)cc1
73,[NH2:1][C:2]1[CH:10]=[CH:9][C:5]([C:6]([OH:8])=[O:7])=[CH:4][CH:3]=1.[C:11]1([C:17](Cl)=[O:18])[CH2:16][CH2:15][CH2:14][CH2:13][CH:12]=1>>[C:11]1([C:17]([NH:1][C:2]2[CH:10]=[CH:9][C:5]([C:6]([OH:8])=[O:7])=[CH:4][CH:3]=2)=[O:18])[CH2:16][CH2:15][CH2:14][CH2:13][CH:12]=1,[C:4]=[C:3]-[C;H0;D3;+0:1](=[O;D1;H0:2])-[NH;D2;+0:5]-[c:6]>>Cl-[C;H0;D3;+0:1](=[O;D1;H0:2])-[C:3]=[C:4].[NH2;D1;+0:5]-[c:6],Nc1ccc(C(=O)O)cc1.O=C(Cl)C1=CCCCC1>>O=C(Nc1ccc(C(=O)O)cc1)C1=CCCCC1
75,[CH:11]1([C:18](Cl)=[O:19])[CH2:17][CH2:16][CH2:15][CH2:14][CH2:13][CH2:12]1.[NH2:1][C:2]1[CH:10]=[CH:9][C:5]([C:6]([OH:8])=[O:7])=[CH:4][CH:3]=1>>[CH:11]1([C:18]([NH:1][C:2]2[CH:10]=[CH:9][C:5]([C:6]([OH:8])=[O:7])=[CH:4][CH:3]=2)=[O:19])[CH2:17][CH2:16][CH2:15][CH2:14][CH2:13][CH2:12]1,[C:2]-[C;H0;D3;+0:1](=[O;D1;H0:3])-[NH;D2;+0:4]-[c:5]>>Cl-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3].[NH2;D1;+0:4]-[c:5],Nc1ccc(C(=O)O)cc1.O=C(Cl)C1CCCCCC1>>O=C(O)c1ccc(NC(=O)C2CCCCCC2)cc1
79,[CH:12]1([C:16](Cl)=[O:17])[CH2:15][CH2:14][CH2:13]1.[NH2:1][C:2]1[CH:7]=[CH:6][C:5]([CH2:8][C:9]([OH:11])=[O:10])=[CH:4][CH:3]=1>>[CH:12]1([C:16]([NH:1][C:2]2[CH:3]=[CH:4][C:5]([CH2:8][C:9]([OH:11])=[O:10])=[CH:6][CH:7]=2)=[O:17])[CH2:15][CH2:14][CH2:13]1,[C:2]-[C;H0;D3;+0:1](=[O;D1;H0:3])-[NH;D2;+0:4]-[c:5]>>Cl-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3].[NH2;D1;+0:4]-[c:5],Nc1ccc(CC(=O)O)cc1.O=C(Cl)C1CCC1>>O=C(O)Cc1ccc(NC(=O)C2CCC2)cc1
77,[CH:11]12[CH2:17][CH:14]([CH2:15][CH2:16]1)[CH2:13][CH:12]2[CH2:18][C:19](Cl)=[O:20].[NH2:1][C:2]1[CH:10]=[CH:9][C:5]([C:6]([OH:8])=[O:7])=[CH:4][CH:3]=1>>[CH:11]12[CH2:17][CH:14]([CH2:15][CH2:16]1)[CH2:13][CH:12]2[CH2:18][C:19]([NH:1][C:2]1[CH:10]=[CH:9][C:5]([C:6]([OH:8])=[O:7])=[CH:4][CH:3]=1)=[O:20],[C:2]-[C;H0;D3;+0:1](=[O;D1;H0:3])-[NH;D2;+0:4]-[c:5]>>Cl-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3].[NH2;D1;+0:4]-[c:5],Nc1ccc(C(=O)O)cc1.O=C(Cl)CC1CC2CCC1C2>>O=C(CC1CC2CCC1C2)Nc1ccc(C(=O)O)cc1
78,[N+:14]([C:17]1[CH:25]=[CH:24][C:20]([C:21](Cl)=[O:22])=[CH:19][CH:18]=1)([O-:16])=[O:15].[NH2:1][C:2]1[CH:10]=[CH:9][C:5]([C:6]([OH:8])=[O:7])=[C:4]([N+:11]([O-:13])=[O:12])[CH:3]=1>>[N+:14]([C:17]1[CH:18]=[CH:19][C:20]([C:21]([NH:1][C:2]2[CH:10]=[CH:9][C:5]([C:6]([OH:8])=[O:7])=[C:4]([N+:11]([O-:13])=[O:12])[CH:3]=2)=[O:22])=[CH:24][CH:25]=1)([O-:16])=[O:15],[O;D1;H0:2]=[C;H0;D3;+0:1](-[c:3])-[NH;D2;+0:4]-[c:5]>>Cl-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3].[NH2;D1;+0:4]-[c:5],Nc1ccc(C(=O)O)c([N+](=O)[O-])c1.O=C(Cl)c1ccc([N+](=O)[O-])cc1>>O=C(Nc1ccc(C(=O)O)c([N+](=O)[O-])c1)c1ccc([N+](=O)[O-])cc1
84,[CH3:12][S:13]([CH3:15])=O.Cl[CH:2]([C:4]1[N:5]=CSC=1)[CH3:3].[C-:9]#[N:10]>>[S:13]1[CH:15]=[C:9]([CH:2]([CH3:3])[C:4]#[N:5])[N:10]=[CH:12]1,[C;D1;H3:2]-[CH;D3;+0:1](-[C;H0;D2;+0:3]#[N;H0;D1;+0:4])-[c;H0;D3;+0:8]1:[cH;D2;+0:7]:[s;H0;D2;+0:5]:[cH;D2;+0:6]:[n;H0;D2;+0:9]:1>>Cl-[CH;D3;+0:1](-[C;D1;H3:2])-[c;H0;D3;+0:3]1:[n;H0;D2;+0:4]:c:s:c:1.O=[S;H0;D3;+0:5](-[CH3;D1;+0:6])-[CH3;D1;+0:7].[C-;H0;D1:8]#[N;H0;D1;+0:9],CC(Cl)c1cscn1.CS(C)=O.[C-]#N>>CC(C#N)c1cscn1
70,[CH2:17](N(CC)CC)[CH3:18].[NH2:1][C:2]1[CH:10]=[CH:9][C:5]([C:6]([OH:8])=[O:7])=[CH:4][CH:3]=1.[CH:11]1([C:14](Cl)=[O:15])[CH2:13][CH2:12]1>>[CH:11]1([C:14]([NH:1][C:2]2[CH:10]=[CH:9][C:5]([C:6]([OH:8])=[O:7])=[CH:4][CH:3]=2)=[O:15])[CH2:13][CH2:12][CH2:18][CH2:17]1,[O;D1;H0:4]=[C;H0;D3;+0:3](-[NH;D2;+0:8]-[c:9])-[CH;D3;+0:5]1-[C:6]-[CH2;D2;+0:7]-[CH2;D2;+0:2]-[CH2;D2;+0:1]-1>>C-C-N(-C-C)-[CH2;D2;+0:1]-[CH3;D1;+0:2].Cl-[C;H0;D3;+0:3](=[O;D1;H0:4])-[CH;D3;+0:5]1-[C:6]-[CH2;D2;+0:7]-1.[NH2;D1;+0:8]-[c:9],CCN(CC)CC.Nc1ccc(C(=O)O)cc1.O=C(Cl)C1CC1>>O=C(O)c1ccc(NC(=O)C2CCCC2)cc1
